,url,title,date,category,description
55,https://www.youtube.com/watch?v=HZSnEHEpIRg,Hermitcraft - Plungers and Pipelines,2023-05-04,VOD,
56,https://www.youtube.com/watch?v=uadwKpZSqiU,Hermitcraft - Moving Evokers and Ravagers for Level 2!,2023-05-09,VOD,
57,https://www.youtube.com/watch?v=fheWULVa05o,"Hermitcraft - Beacons, Pirate Snipers, and Good Times with Scar!",2023-05-11,VOD,
158,https://www.youtube.com/watch?v=pK3WUUvg0IQ,"60 WITHERS vs The Ancient City! with Etho, Cub and Xisuma! Hermitcraft 9: #44",2023-05-13,main,
58,https://www.youtube.com/watch?v=0U5RHaa6Kzc,Hermitcraft - Spider Den and Pork Chops!,2023-05-16,VOD,
59,https://www.youtube.com/watch?v=iYEPM8t9jiQ,The Warden Science Stream!,2023-05-18,VOD,
60,https://www.youtube.com/watch?v=uDZ_35itNFk,"Hermitcraft - Prepping for Level 3, The Black Mines!",2023-05-23,VOD,
61,https://www.youtube.com/watch?v=h4SEn2a4AZ4,Hermitcraft - The Entrance to The Black Mines!,2023-05-25,VOD,
62,https://www.youtube.com/watch?v=Vqo80mH2atw,Hermitcraft - Full Tour of Level 3 Decked Out!,2023-05-30,VOD,
159,https://www.youtube.com/watch?v=EhqGvMks6L8,Decked Out Level 3 is BUILT! The Black Mines! Hermitcraft 9: #45,2023-05-31,main,
63,https://www.youtube.com/watch?v=TPYw2vtDhpU,Hermitcraft - The REDO Stream!,2023-06-01,VOD,
64,https://www.youtube.com/watch?v=390EeG7wVp8,Hermitcraft - Ravager Fishing! (part 1),2023-06-06,VOD,
65,https://www.youtube.com/watch?v=r_qX_O7cwm4,Hermitcraft - Ravager Fishing! (part 2),2023-06-06,VOD,
66,https://www.youtube.com/watch?v=K6zCdrLFO7g,Hermitcraft - Level 3 Redstone Progress!,2023-06-08,VOD,
67,https://www.youtube.com/watch?v=eUNejKO-fvY,Hermitcraft - Drowning for Treasure!,2023-06-13,VOD,
160,https://www.youtube.com/watch?v=7_mv1J8qNGY,Exploding Floors and Drowning Tunnels! Hermitcraft 9: #46,2023-06-14,main,
68,https://www.youtube.com/watch?v=sLmXtrhauds,Hermitcraft - Water-logged Cowards!,2023-06-16,VOD,
69,https://www.youtube.com/watch?v=aRBRTlybjCc,Hermitcraft - Moving Evokers Into Level 2! What could go wrong?!,2023-06-20,VOD,
70,https://www.youtube.com/watch?v=J6BJUEsyTEc,Hermitcraft - GREAT Times with Scar!,2023-06-22,VOD,
71,https://www.youtube.com/watch?v=BwAYrrYM_qw,"Hermitcraft - Reviewing Xisuma's new Album! Also, Lamp Shades.",2023-06-27,VOD,
161,https://www.youtube.com/watch?v=oUHDVToXVyI,The Entrance to Decked Out! Hermitcraft 9: #47,2023-06-30,main,
72,https://www.youtube.com/watch?v=g-1M4uzH0Ao,Hermitcraft - Ravager Moving into Level 2!,2023-07-04,VOD,
73,https://www.youtube.com/watch?v=m-FQIuJElsM,Hermitcraft - Programming the Cards!,2023-07-06,VOD,
74,https://www.youtube.com/watch?v=Vcoz-ZDcNTs,Hermitcraft - Warden Farm Prep!,2023-07-11,VOD,
75,https://www.youtube.com/watch?v=eDTA-23-hd8,Hermitcraft - Unboxing an INSANE 3D Print of Deepfrost Citadel!,2023-07-15,VOD,
162,https://www.youtube.com/watch?v=h0jzXDFhfj4,The Warden Delivery System! - Hermitcraft 9: #48,2023-07-16,main,
76,https://www.youtube.com/watch?v=Mv3z0_VMVyo,Hermitcraft - I was FORCED to make this ridiculous face. I'm sorry!,2023-07-18,VOD,
77,https://www.youtube.com/watch?v=rAjZHBxvsJM,Hermitcraft - Fire in the Hole!,2023-07-20,VOD,
78,https://www.youtube.com/watch?v=RpUPt7aPmiQ,Hermitcraft - VIP Tickets and Artifacts Everywhere!,2023-07-25,VOD,
79,https://www.youtube.com/watch?v=ZzzhFCpU7hk,Hermitcraft - Prepping for the Final Push?!,2023-08-01,VOD,
163,https://www.youtube.com/watch?v=ZOxiGm_rba0,The Hooves that Never Touched the Ground! - Hermitcraft 9: #49,2023-08-02,main,
80,https://www.youtube.com/watch?v=mZS1cnFjhrY,Hermitcraft - Crown shop and Card Programming!,2023-08-03,VOD,
81,https://www.youtube.com/watch?v=Sn7qnV8zl48,Hermitcraft - Ravager PEEK-A-BOO?!,2023-08-08,VOD,
82,https://www.youtube.com/watch?v=OUuzYTIw-jc,Hermitcraft - Filling up the Crown Shop!,2023-08-10,VOD,
83,https://www.youtube.com/watch?v=hFcuI9vbS-Q,Hermitcraft - Ravager Round Up - Level 2,2023-08-12,VOD,
84,https://www.youtube.com/watch?v=k1unQOMU40g,Hermitcraft - Easter Eggs in Decked Out?!,2023-08-18,VOD,
85,https://www.youtube.com/watch?v=cuuLP3NxszI,It's READY for Testing! - Full Runs of Decked Out!,2023-08-22,VOD,
86,https://www.youtube.com/watch?v=odXVpe9CSNg,INTENSE Full Decked Out Runs! We're getting Close!,2023-08-24,VOD,
87,https://www.youtube.com/watch?v=p_PsBXJem0I,MORE Decked Out Runs and New Deck Delivery!,2023-08-25,VOD,
